The.Date.of.this.Price,Expiration.Date.of.the.Option,K,Call,Delta.of.the.Option,diff,bgn_S,end_S,Signal
2017/1/17,2017/2/15,226,2.7,0.530271,29,226.25,234.92,Short
2017/1/18,2017/2/17,227,2.465,0.499057,30,226.75,235.09,Short
2017/1/19,2017/2/17,226,2.725,0.509015,29,225.91,235.09,Short
2017/1/20,2017/2/17,227,2.155,0.496041,28,226.74,235.09,Short
2017/1/23,2017/2/22,226,2.645,0.524635,30,226.15,236.28,Short
2017/2/10,2017/3/10,231.5,2.27,0.515521,28,231.51,237.69,Short
2017/2/13,2017/3/15,233,2.33,0.49974,30,232.77,238.95,Short
2017/2/14,2017/3/15,234,2.125,0.49354,29,233.7,238.95,Short
2017/2/15,2017/3/17,235,2.485,0.50992,30,234.92,237.03,Short
2017/2/16,2017/3/17,235,2.295,0.496045,29,234.72,237.03,Short
2017/2/17,2017/3/17,235,2.215,0.522235,28,235.09,237.03,Short
2017/2/21,2017/3/22,236,2.58,0.546616,29,236.49,234.28,Short
2017/2/22,2017/3/24,236.5,2.205,0.494727,30,236.28,233.86,Short
2017/2/23,2017/3/24,236.5,2.16,0.505765,29,236.44,233.86,Short
2017/2/24,2017/3/24,236.5,2.19,0.528664,28,236.74,233.86,Short
2017/2/27,2017/3/29,235,3.655,0.640056,30,237.11,235.54,Short
2017/2/28,2017/3/29,235,3.4,0.591758,29,236.47,235.54,Short
2017/3/14,2017/4/13,237,2.08,0.430079,30,236.9,232.51,Short
2017/4/3,2017/5/3,235,3.035,0.536433,30,235.33,238.48,Short
2017/4/4,2017/5/3,235,2.94,0.546849,29,235.48,238.48,Short
2017/4/5,2017/5/5,235,2.8,0.505017,30,234.78,239.7,Short
2017/4/6,2017/5/5,235.5,2.72,0.513869,29,235.44,239.7,Short
2017/4/7,2017/5/5,235,2.895,0.528751,28,235.2,239.7,Short
2017/4/10,2017/5/10,235,3.475,0.534135,30,235.34,239.87,Short
2017/4/11,2017/5/10,235,3.29,0.519955,29,235.06,239.87,Short
2017/4/12,2017/5/12,234,3.645,0.517617,30,234.03,238.98,Short
2017/4/13,2017/5/12,232.5,3.75,0.516376,29,232.51,238.98,Short
2017/4/17,2017/5/17,235,3.01,0.494725,30,234.57,235.82,Short
2017/4/18,2017/5/17,235,2.605,0.457486,29,233.87,235.82,Short
2017/4/19,2017/5/19,233,3.705,0.53699,30,233.44,238.31,Short
2017/4/24,2017/5/24,235,3.87,0.651397,30,237.17,240.61,Long
2017/4/25,2017/5/24,240,1.625,0.4143,29,238.55,240.61,Long
2017/4/26,2017/5/26,238.5,2.385,0.511786,30,238.4,241.71,Long
2017/5/5,2017/6/2,239.5,2.285,0.534404,28,239.7,244.17,Short
2017/5/8,2017/6/7,240,1.935,0.494127,30,239.66,243.66,Short
2017/5/9,2017/6/7,239,2.46,0.55268,29,239.44,243.66,Short
2017/5/10,2017/6/9,240,2.11,0.509475,30,239.87,243.41,Short
2017/5/11,2017/6/9,239.5,2.18,0.509669,29,239.38,243.41,Short
2017/5/12,2017/6/9,239,2.12,0.51701,28,238.98,243.41,Short
2017/5/15,2017/6/14,240,2.49,0.540203,30,240.3,244.24,Short
2017/5/16,2017/6/14,240,2.31,0.524455,29,240.08,244.24,Short
2017/5/19,2017/6/16,238,2.605,0.538704,28,238.31,242.64,Long
2017/5/22,2017/6/21,239.5,2.18,0.517444,30,239.52,242.95,Long
2017/5/23,2017/6/21,240,2.05,0.519665,29,240.05,242.95,Long
2017/5/24,2017/6/23,240.5,2.035,0.523083,30,240.61,243.13,Long
2017/5/25,2017/6/23,242,1.71,0.492559,29,241.76,243.13,Long
2017/5/26,2017/6/23,241.5,1.905,0.532628,28,241.71,243.13,Long
2017/5/30,2017/6/28,240,2.865,0.623871,29,241.5,243.49,Long
2017/6/15,2017/7/14,244,1.525,0.503886,29,243.77,245.56,Short
2017/6/28,2017/7/28,243.5,2.35,0.52164,30,243.49,246.91,Long
2017/6/29,2017/7/28,241,2.975,0.54052,29,241.35,246.91,Long
2017/7/7,2017/8/4,242,2.49,0.528377,28,242.11,247.41,Long
2017/7/10,2017/8/9,242,2.78,0.545344,30,242.37,247.25,Long
2017/7/12,2017/8/11,244,2.305,0.523361,30,244.01,244.12,Long
2017/7/27,2017/8/25,247.5,1.905,0.499431,29,247.2,244.56,Short
2017/7/28,2017/8/25,247.5,1.765,0.474926,28,246.91,244.56,Short
2017/7/31,2017/8/30,245,3.585,0.634144,30,246.77,246.01,Short
2017/8/1,2017/8/30,245,3.8,0.676367,29,247.32,246.01,Short
2017/8/2,2017/9/1,247.5,2.16,0.519308,30,247.44,247.84,Short
2017/8/3,2017/9/1,247,2.205,0.519914,29,246.96,247.84,Short
2017/8/4,2017/9/1,247.5,2.025,0.5161,28,247.41,247.84,Short
2017/8/7,2017/9/6,250,0.945,0.335599,30,247.87,246.9,Short
2017/8/8,2017/9/6,245,4.01,0.65657,29,247.26,246.9,Short
2017/8/9,2017/9/8,247,2.66,0.538105,30,247.25,246.58,Short
2017/8/10,2017/9/8,244,3.265,0.50673,29,243.76,246.58,Short
2017/8/14,2017/9/13,247,2.27,0.490873,30,246.54,250.17,Long
2017/8/15,2017/9/13,247,2.145,0.487299,29,246.51,250.17,Long
2017/8/16,2017/9/15,247,2.245,0.518551,30,246.94,249.19,Long
2017/8/17,2017/9/15,243,3.275,0.523339,29,243.09,249.19,Long
2017/8/18,2017/9/15,243,2.79,0.502426,28,242.71,249.19,Long
2017/8/21,2017/9/20,243,2.82,0.510364,30,242.9,250.06,Long
2017/8/22,2017/9/20,245,2.53,0.549204,29,245.44,250.06,Long
2017/8/23,2017/9/22,245,2.195,0.484272,30,244.56,249.44,Long
2017/8/24,2017/9/22,244,2.53,0.512799,29,243.99,249.44,Long
2017/8/25,2017/9/22,245,1.89,0.479819,28,244.56,249.44,Long
2017/8/28,2017/9/27,245,1.875,0.472666,30,244.57,250.05,Long
2017/8/29,2017/9/27,245,2.005,0.493312,29,244.85,250.05,Long
2017/9/22,2017/10/20,249.5,2.135,0.51807,28,249.44,257.11,Short
2017/9/25,2017/10/25,250,1.635,0.4402,30,248.93,255.29,Short
2017/9/26,2017/10/25,250,1.645,0.449708,29,249.08,255.29,Short
2017/9/27,2017/10/27,250,2.33,0.52698,30,250.05,257.71,Short
2017/9/28,2017/10/27,250.5,2.02,0.512089,29,250.35,257.71,Short
2017/10/18,2017/11/17,256,1.99,0.502659,30,255.72,257.86,Short
2017/10/19,2017/11/17,256,1.985,0.507503,29,255.79,257.86,Short
2017/10/20,2017/11/17,257,1.97,0.53524,28,257.11,257.86,Short
2017/10/23,2017/11/22,256,2.49,0.530507,30,256.11,259.76,Short
2017/10/24,2017/11/22,256.5,2.385,0.527067,29,256.56,259.76,Short
2017/10/26,2017/11/24,256,2.42,0.497071,29,255.62,260.36,Short
2017/11/9,2017/12/8,258,2.71,0.532149,29,258.17,265.51,Short
2017/11/10,2017/12/8,258,2.555,0.52725,28,258.09,265.51,Short
2017/11/13,2017/12/13,258,2.92,0.541473,30,258.33,266.75,Short
2017/11/14,2017/12/13,258,2.495,0.504324,29,257.73,266.75,Short
2017/11/15,2017/12/8,256,2.885,0.545049,23,256.44,265.51,Short
