Date,Price,implied_vol
01/03/2017,225.24,0.075217334
01/04/2017,226.58,0.079517554
01/05/2017,226.4,0.077881066
01/06/2017,227.21,0.078579466
01/09/2017,226.46,0.081589631
01/10/2017,226.46,0.080588471
01/11/2017,227.1,0.063253576
01/12/2017,226.53,0.066208426
01/13/2017,227.05,0.059789162
01/17/2017,226.25,0.053864727
01/18/2017,226.75,0.044570996
01/19/2017,225.91,0.048977459
01/20/2017,226.74,0.049222134
01/23/2017,226.15,0.04792568
01/24/2017,227.6,0.059499268
01/25/2017,229.57,0.073237565
01/26/2017,229.33,0.07121552
01/27/2017,228.97,0.072594102
01/30/2017,227.55,0.079121981
01/31/2017,227.53,0.078601016
02/01/2017,227.62,0.074651024
02/02/2017,227.77,0.072670136
02/03/2017,229.34,0.077198121
02/06/2017,228.93,0.072951694
02/07/2017,228.94,0.054803223
02/08/2017,229.24,0.055229366
02/09/2017,230.6,0.062658173
02/10/2017,231.51,0.047740803
02/13/2017,232.77,0.049388969
02/14/2017,233.7,0.048100539
02/15/2017,234.92,0.047329733
02/16/2017,234.72,0.047311644
02/17/2017,235.09,0.040132961
02/21/2017,236.49,0.038738736
02/22/2017,236.28,0.044364532
02/23/2017,236.44,0.043488059
02/24/2017,236.74,0.043542505
02/27/2017,237.11,0.039843617
02/28/2017,236.47,0.045157254
03/01/2017,239.78,0.080156544
03/02/2017,238.27,0.091645791
03/03/2017,238.42,0.091817747
03/06/2017,237.71,0.090512961
03/07/2017,237,0.092303496
03/08/2017,236.56,0.093004141
03/09/2017,236.86,0.093003875
03/10/2017,237.69,0.094591319
03/13/2017,237.81,0.092868876
03/14/2017,236.9,0.049098008
03/15/2017,238.95,0.063437512
03/16/2017,238.48,0.064548682
03/17/2017,237.03,0.07111171
03/20/2017,236.77,0.069508563
03/21/2017,233.73,0.098116657
03/22/2017,234.28,0.099217523
03/23/2017,234.03,0.095116006
03/24/2017,233.86,0.094405806
03/27/2017,233.62,0.093702289
03/28/2017,235.32,0.089059459
03/29/2017,235.54,0.090136115
03/30/2017,236.29,0.08811657
03/31/2017,235.74,0.088704799
04/03/2017,235.33,0.049399023
04/04/2017,235.48,0.04845339
04/05/2017,234.78,0.051536557
04/06/2017,235.44,0.052613805
04/07/2017,235.2,0.052606257
