Date,Price
12/28/2017,267.87
12/27/2017,267.32
12/26/2017,267.19
12/22/2017,267.51
12/21/2017,267.58
12/20/2017,267.03
12/19/2017,267.17
12/18/2017,268.2
12/15/2017,266.51
12/14/2017,265.66
12/13/2017,266.75
12/12/2017,266.78
12/11/2017,266.31
12/08/2017,265.51
12/07/2017,264.07
12/06/2017,263.24
12/05/2017,263.19
12/04/2017,264.14
12/01/2017,264.46
11/30/2017,265.01
11/29/2017,262.71
11/28/2017,262.87
11/27/2017,260.23
11/24/2017,260.36
11/22/2017,259.76
11/21/2017,259.99
11/20/2017,258.3
11/17/2017,257.86
11/16/2017,258.62
11/15/2017,256.44
11/14/2017,257.73
11/13/2017,258.33
11/10/2017,258.09
11/09/2017,258.17
11/08/2017,259.11
11/07/2017,258.67
11/06/2017,258.85
11/03/2017,258.45
11/02/2017,257.59
11/01/2017,257.49
10/31/2017,257.15
10/30/2017,256.75
10/27/2017,257.71
10/26/2017,255.62
10/25/2017,255.29
10/24/2017,256.56
10/23/2017,256.11
10/20/2017,257.11
10/19/2017,255.79
10/18/2017,255.72
10/17/2017,255.47
10/16/2017,255.29
10/13/2017,254.95
10/12/2017,254.64
10/11/2017,255.02
10/10/2017,254.62
10/09/2017,253.95
10/06/2017,254.37
10/05/2017,254.66
10/04/2017,253.16
10/03/2017,252.86
10/02/2017,252.32
09/29/2017,251.23
09/28/2017,250.35
09/27/2017,250.05
09/26/2017,249.08
09/25/2017,248.93
09/22/2017,249.44
09/21/2017,249.39
09/20/2017,250.06
09/19/2017,249.97
09/18/2017,249.72
09/15/2017,249.19
09/14/2017,250.09
09/13/2017,250.17
09/12/2017,250.05
09/11/2017,249.21
09/08/2017,246.58
09/07/2017,246.87
09/06/2017,246.9
09/05/2017,246.06
09/01/2017,247.84
08/31/2017,247.49
08/30/2017,246.01
08/29/2017,244.85
08/28/2017,244.57
08/25/2017,244.56
08/24/2017,243.99
08/23/2017,244.56
08/22/2017,245.44
08/21/2017,242.9
08/18/2017,242.71
08/17/2017,243.09
08/16/2017,246.94
08/15/2017,246.51
08/14/2017,246.54
08/11/2017,244.12
08/10/2017,243.76
08/09/2017,247.25
08/08/2017,247.26
08/07/2017,247.87
08/04/2017,247.41
08/03/2017,246.96
08/02/2017,247.44
08/01/2017,247.32
07/31/2017,246.77
07/28/2017,246.91
07/27/2017,247.2
07/26/2017,247.43
07/25/2017,247.42
07/24/2017,246.82
07/21/2017,246.88
07/20/2017,247.1
07/19/2017,246.99
07/18/2017,245.66
07/17/2017,245.53
07/14/2017,245.56
07/13/2017,244.42
07/12/2017,244.01
07/11/2017,242.19
07/10/2017,242.37
07/07/2017,242.11
07/06/2017,240.55
07/05/2017,242.77
07/03/2017,242.21
06/30/2017,241.8
06/29/2017,241.35
06/28/2017,243.49
06/27/2017,241.33
06/26/2017,243.29
06/23/2017,243.13
06/22/2017,242.84
06/21/2017,242.95
06/20/2017,243.01
06/19/2017,244.66
06/16/2017,242.64
06/15/2017,243.77
06/14/2017,244.24
06/13/2017,244.55
06/12/2017,243.36
06/09/2017,243.41
06/08/2017,243.78
06/07/2017,243.66
06/06/2017,243.21
06/05/2017,243.99
06/02/2017,244.17
06/01/2017,243.36
05/31/2017,241.44
05/30/2017,241.5
05/26/2017,241.71
05/25/2017,241.76
05/24/2017,240.61
05/23/2017,240.05
05/22/2017,239.52
05/19/2017,238.31
05/18/2017,236.77
05/17/2017,235.82
05/16/2017,240.08
05/15/2017,240.3
05/12/2017,238.98
05/11/2017,239.38
05/10/2017,239.87
05/09/2017,239.44
05/08/2017,239.66
05/05/2017,239.7
05/04/2017,238.76
05/03/2017,238.48
05/02/2017,238.77
05/01/2017,238.68
04/28/2017,238.08
04/27/2017,238.6
04/26/2017,238.4
04/25/2017,238.55
04/24/2017,237.17
04/21/2017,234.59
04/20/2017,235.34
04/19/2017,233.44
04/18/2017,233.87
04/17/2017,234.57
04/13/2017,232.51
04/12/2017,234.03
04/11/2017,235.06
04/10/2017,235.34
04/07/2017,235.2
04/06/2017,235.44
04/05/2017,234.78
04/04/2017,235.48
04/03/2017,235.33
03/31/2017,235.74
03/30/2017,236.29
03/29/2017,235.54
03/28/2017,235.32
03/27/2017,233.62
03/24/2017,233.86
03/23/2017,234.03
03/22/2017,234.28
03/21/2017,233.73
03/20/2017,236.77
03/17/2017,237.03
03/16/2017,238.48
03/15/2017,238.95
03/14/2017,236.9
03/13/2017,237.81
03/10/2017,237.69
03/09/2017,236.86
03/08/2017,236.56
03/07/2017,237
03/06/2017,237.71
03/03/2017,238.42
03/02/2017,238.27
03/01/2017,239.78
02/28/2017,236.47
02/27/2017,237.11
02/24/2017,236.74
02/23/2017,236.44
02/22/2017,236.28
02/21/2017,236.49
02/17/2017,235.09
02/16/2017,234.72
02/15/2017,234.92
02/14/2017,233.7
02/13/2017,232.77
02/10/2017,231.51
02/09/2017,230.6
02/08/2017,229.24
02/07/2017,228.94
02/06/2017,228.93
02/03/2017,229.34
02/02/2017,227.77
02/01/2017,227.62
01/31/2017,227.53
01/30/2017,227.55
01/27/2017,228.97
01/26/2017,229.33
01/25/2017,229.57
01/24/2017,227.6
01/23/2017,226.15
01/20/2017,226.74
01/19/2017,225.91
01/18/2017,226.75
01/17/2017,226.25
01/13/2017,227.05
01/12/2017,226.53
01/11/2017,227.1
01/10/2017,226.46
01/09/2017,226.46
01/06/2017,227.21
01/05/2017,226.4
01/04/2017,226.58
01/03/2017,225.24
